age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
68.0,Private,1187724.0,Some-college,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,54.0,United-States,1
43.0,,342557.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,0.0,33.0,United-States,1
22.0,Private,887515.0,Doctorate,16.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,56.0,United-States,0
88.0,Private,295060.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,13550.0,0.0,36.0,Mexico,0
49.0,Private,196508.0,Bachelors,13.0,Never-married,Prof-specialty,Husband,White,Male,0.0,0.0,41.0,Mexico,0
83.0,Private,532521.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,28.0,United-States,0
67.0,Private,1307710.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,14.0,United-States,0
74.0,Self-emp-not-inc,834550.0,Some-college,10.0,Never-married,,Husband,White,Male,0.0,0.0,24.0,United-States,0
73.0,Private,244998.0,Some-college,10.0,Never-married,Adm-clerical,Unmarried,Black,Male,0.0,0.0,45.0,United-States,0
31.0,Private,917571.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0.0,0.0,39.0,United-States,0
43.0,Private,296676.0,Some-college,10.0,Never-married,Other-service,Wife,White,Female,99999.0,0.0,47.0,United-States,0
51.0,Private,371696.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,60.0,United-States,0
53.0,Private,1281297.0,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,2964.0,0.0,36.0,United-States,1
20.0,Private,538936.0,HS-grad,9.0,Divorced,Handlers-cleaners,Own-child,White,Male,0.0,0.0,38.0,United-States,0
57.0,Local-gov,1100819.0,Masters,14.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,39.0,United-States,1
28.0,Private,955459.0,HS-grad,9.0,Never-married,Other-service,Other-relative,White,Male,0.0,0.0,45.0,United-States,0
72.0,Private,1475566.0,Some-college,10.0,Married-civ-spouse,Tech-support,Not-in-family,Other,Male,0.0,0.0,35.0,United-States,1
67.0,Private,756433.0,HS-grad,9.0,Married-AF-spouse,Prof-specialty,Not-in-family,White,Male,0.0,0.0,37.0,United-States,0
85.0,Private,1323816.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,52.0,United-States,1
72.0,Without-pay,1302813.0,12th,8.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
44.0,Private,958814.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0
88.0,Private,1297375.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,57.0,United-States,1
47.0,Private,562854.0,Some-college,10.0,Divorced,Prof-specialty,Husband,White,Male,0.0,0.0,62.0,United-States,1
41.0,Private,619039.0,Assoc-voc,11.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,54.0,United-States,1
84.0,Federal-gov,1105737.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Black,Female,0.0,0.0,30.0,United-States,0
44.0,Private,1482635.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,2042.0,67.0,Germany,1
22.0,Self-emp-not-inc,1147953.0,11th,7.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,18.0,United-States,0
51.0,Private,1063848.0,9th,5.0,Separated,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,47.0,United-States,1
75.0,Private,327647.0,9th,5.0,Never-married,Farming-fishing,Husband,White,Male,0.0,0.0,41.0,United-States,0
31.0,Federal-gov,1446020.0,HS-grad,9.0,Married-civ-spouse,,Unmarried,White,Male,0.0,0.0,52.0,United-States,0
51.0,Private,37700.0,7th-8th,4.0,Widowed,Farming-fishing,Unmarried,White,Female,0.0,0.0,55.0,United-States,0
26.0,Private,1277738.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0.0,0.0,45.0,United-States,0
67.0,Private,522124.0,Prof-school,15.0,Divorced,Tech-support,Unmarried,White,Male,0.0,0.0,41.0,United-States,1
52.0,Private,441762.0,Masters,14.0,Married-civ-spouse,Craft-repair,Husband,White,Female,0.0,0.0,34.0,United-States,0
41.0,Self-emp-not-inc,1353991.0,HS-grad,9.0,Never-married,Transport-moving,Husband,Black,Male,0.0,1590.0,42.0,United-States,0
33.0,Local-gov,763034.0,Masters,14.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,42.0,United-States,0
58.0,Local-gov,896525.0,HS-grad,9.0,Divorced,Adm-clerical,Husband,Black,Female,0.0,0.0,37.0,United-States,0
66.0,Private,55231.0,Some-college,10.0,Never-married,Prof-specialty,Husband,White,Male,0.0,2824.0,42.0,United-States,0
86.0,Private,332465.0,HS-grad,9.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,1887.0,43.0,Other,0
49.0,Private,549524.0,Bachelors,13.0,Married-civ-spouse,Sales,Not-in-family,White,Female,0.0,0.0,46.0,United-States,0
28.0,Private,286728.0,Some-college,10.0,Married-spouse-absent,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,37.0,United-States,1
78.0,Private,1300115.0,1st-4th,2.0,Divorced,Craft-repair,Not-in-family,Black,Male,0.0,0.0,30.0,Cuba,0
63.0,Private,614806.0,Masters,14.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,37.0,United-States,1
68.0,Private,461837.0,9th,5.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,13550.0,0.0,33.0,United-States,1
24.0,Private,205634.0,Doctorate,16.0,Married-civ-spouse,Sales,Own-child,Black,Male,0.0,0.0,24.0,United-States,0
40.0,Private,200629.0,11th,7.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,61.0,United-States,0
73.0,Private,656749.0,Bachelors,13.0,Married-civ-spouse,Other-service,Unmarried,White,Male,0.0,0.0,20.0,United-States,0
78.0,Private,469096.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0.0,0.0,46.0,United-States,0
49.0,Private,154474.0,Some-college,10.0,Married-civ-spouse,Sales,Not-in-family,White,Male,0.0,0.0,52.0,United-States,1
76.0,Self-emp-inc,1002255.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,25.0,United-States,0
79.0,Private,1234865.0,Masters,14.0,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,38.0,United-States,1
45.0,,673982.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,35.0,United-States,0
83.0,Private,1274456.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0.0,1740.0,26.0,United-States,1
38.0,Federal-gov,86757.0,Bachelors,13.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,21.0,United-States,0
34.0,State-gov,786308.0,Bachelors,13.0,Never-married,Exec-managerial,Unmarried,White,Male,0.0,0.0,32.0,United-States,1
67.0,Private,296022.0,11th,7.0,Never-married,Adm-clerical,Unmarried,White,Male,0.0,0.0,24.0,United-States,0
64.0,Private,1261387.0,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,53.0,United-States,1
27.0,Private,458408.0,Bachelors,13.0,Never-married,Prof-specialty,Husband,White,Female,0.0,0.0,46.0,United-States,0
78.0,Local-gov,110644.0,HS-grad,9.0,Separated,Adm-clerical,Husband,White,Male,0.0,0.0,27.0,United-States,0
31.0,Private,1387296.0,Masters,14.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,33.0,United-States,1
76.0,Private,975933.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,59.0,United-States,0
17.0,Private,382836.0,HS-grad,9.0,Married-civ-spouse,Other-service,Own-child,White,Male,0.0,0.0,48.0,Other,0
75.0,Private,967839.0,Assoc-voc,11.0,Married-civ-spouse,,Own-child,White,Male,0.0,0.0,27.0,United-States,0
75.0,Private,551300.0,HS-grad,9.0,Married-civ-spouse,Other-service,Own-child,Black,Male,0.0,0.0,36.0,United-States,0
74.0,Self-emp-inc,474917.0,HS-grad,9.0,Never-married,Farming-fishing,Husband,White,Male,0.0,0.0,64.0,United-States,0
66.0,Self-emp-inc,692596.0,Assoc-voc,11.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,42.0,United-States,1
51.0,Private,1208934.0,HS-grad,9.0,Never-married,Prof-specialty,Husband,Black,Male,0.0,0.0,30.0,United-States,1
69.0,,818327.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Female,0.0,0.0,29.0,United-States,1
37.0,Private,430501.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,Female,0.0,0.0,27.0,United-States,0
74.0,Self-emp-not-inc,794163.0,HS-grad,9.0,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,14.0,United-States,1
58.0,Private,476883.0,HS-grad,9.0,Never-married,,Own-child,White,Female,0.0,0.0,45.0,United-States,0
50.0,Private,1183940.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,4934.0,0.0,32.0,United-States,1
54.0,Private,1334723.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0.0,0.0,46.0,United-States,0
59.0,Private,1225392.0,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,45.0,United-States,1
19.0,Private,300415.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,36.0,United-States,1
27.0,Private,284504.0,11th,7.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,29.0,Mexico,0
35.0,Private,669566.0,Some-college,10.0,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0.0,0.0,36.0,India,0
25.0,Private,418242.0,Bachelors,13.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,22.0,United-States,0
49.0,Private,1330491.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,0.0,44.0,United-States,0
66.0,Private,177111.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Female,0.0,0.0,41.0,Mexico,1
65.0,Private,376128.0,Bachelors,13.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,30.0,Other,1
51.0,Private,134518.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,0.0,53.0,United-States,0
80.0,Private,882579.0,Assoc-acdm,12.0,Separated,Craft-repair,Husband,White,Male,0.0,0.0,36.0,United-States,0
58.0,Private,156195.0,11th,7.0,Divorced,Other-service,Husband,White,Male,0.0,0.0,24.0,United-States,0
22.0,Private,881308.0,Masters,14.0,Married-civ-spouse,Sales,Not-in-family,White,Male,0.0,0.0,39.0,United-States,0
73.0,Private,855244.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Female,0.0,0.0,37.0,United-States,1
59.0,Self-emp-not-inc,962095.0,Some-college,10.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,20.0,United-States,0
63.0,Private,173888.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0.0,0.0,29.0,United-States,0
58.0,Private,810945.0,Some-college,10.0,Divorced,Craft-repair,Own-child,White,Female,0.0,0.0,38.0,United-States,0
57.0,Self-emp-not-inc,832465.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,18.0,United-States,0
23.0,,1244956.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,40.0,United-States,0
58.0,Private,1316043.0,Bachelors,13.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0.0,0.0,21.0,United-States,0
75.0,Private,282036.0,HS-grad,9.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,28.0,United-States,0
39.0,,37733.0,5th-6th,3.0,Married-civ-spouse,Other-service,Own-child,White,Male,0.0,0.0,39.0,United-States,0
61.0,Private,1175270.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,31.0,United-States,0
19.0,Private,499668.0,Some-college,10.0,Separated,Exec-managerial,Husband,White,Male,0.0,0.0,25.0,United-States,0
42.0,Private,1355750.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,41.0,United-States,0
49.0,Private,182299.0,Masters,14.0,Never-married,,Husband,White,Female,0.0,0.0,53.0,United-States,0
89.0,Private,109128.0,Bachelors,13.0,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0.0,0.0,22.0,United-States,1
32.0,Self-emp-not-inc,836339.0,HS-grad,9.0,Separated,Prof-specialty,Husband,Black,Male,0.0,0.0,36.0,United-States,1
37.0,Private,849849.0,HS-grad,9.0,Married-civ-spouse,Sales,Unmarried,Black,Male,25236.0,0.0,35.0,United-States,1
47.0,Self-emp-not-inc,1145106.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,28.0,United-States,0
90.0,Private,887934.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,Black,Male,0.0,0.0,46.0,United-States,0
80.0,Local-gov,1232805.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,39.0,United-States,0
19.0,Private,223083.0,Assoc-acdm,12.0,Married-civ-spouse,Other-service,Own-child,White,Male,0.0,0.0,59.0,United-States,1
34.0,Private,539651.0,HS-grad,9.0,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Male,0.0,0.0,29.0,United-States,0
77.0,Private,540844.0,HS-grad,9.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,49.0,United-States,0
21.0,Private,563664.0,HS-grad,9.0,Never-married,,Unmarried,White,Female,0.0,0.0,30.0,United-States,0
80.0,Self-emp-not-inc,716038.0,Bachelors,13.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,26.0,United-States,1
37.0,Private,479569.0,10th,6.0,Divorced,Transport-moving,Husband,White,Female,0.0,0.0,31.0,United-States,0
84.0,Self-emp-inc,535305.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Female,0.0,0.0,32.0,United-States,1
38.0,Private,840823.0,Some-college,10.0,Divorced,Machine-op-inspct,Wife,White,Male,0.0,0.0,35.0,United-States,0
49.0,Private,978524.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,43.0,United-States,1
65.0,Private,365407.0,HS-grad,9.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,38.0,United-States,1
26.0,,626960.0,Some-college,10.0,Never-married,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,45.0,Other,1
58.0,Self-emp-not-inc,612970.0,Assoc-acdm,12.0,Divorced,Prof-specialty,Unmarried,White,Male,0.0,2267.0,51.0,United-States,1
54.0,Private,1056976.0,Assoc-voc,11.0,Divorced,Machine-op-inspct,Own-child,White,Male,0.0,0.0,36.0,United-States,0
75.0,Private,455982.0,Bachelors,13.0,Divorced,Other-service,Husband,White,Male,0.0,0.0,57.0,Other,1
90.0,Private,353161.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0.0,0.0,30.0,United-States,0
66.0,Private,872687.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Own-child,White,Male,5013.0,0.0,35.0,United-States,1
47.0,Private,552670.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,37.0,United-States,0
47.0,Private,1372017.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,53.0,United-States,0
47.0,Private,758716.0,Bachelors,13.0,Married-civ-spouse,Sales,Unmarried,Black,Male,0.0,0.0,43.0,United-States,1
77.0,Private,718327.0,HS-grad,9.0,Never-married,Prof-specialty,Husband,White,Male,0.0,0.0,13.0,United-States,0
40.0,Self-emp-not-inc,238119.0,7th-8th,4.0,Married-civ-spouse,,Husband,White,Male,0.0,0.0,60.0,United-States,1
29.0,Private,79614.0,Bachelors,13.0,Divorced,Craft-repair,Husband,Black,Male,0.0,0.0,50.0,United-States,0
41.0,Self-emp-not-inc,1352957.0,Bachelors,13.0,Never-married,Sales,Unmarried,White,Male,0.0,0.0,41.0,United-States,0
18.0,Private,1433231.0,Some-college,10.0,Never-married,Transport-moving,Husband,White,Female,0.0,0.0,39.0,United-States,0
24.0,Self-emp-not-inc,1152826.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0.0,0.0,27.0,United-States,0
23.0,,191190.0,HS-grad,9.0,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,45.0,United-States,1
74.0,Private,945288.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,22.0,United-States,1
70.0,Private,1434585.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,42.0,United-States,1
68.0,Private,1415158.0,HS-grad,9.0,Never-married,Adm-clerical,Husband,White,Female,0.0,0.0,44.0,United-States,0
51.0,,1415678.0,11th,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,35.0,United-States,0
70.0,Private,755477.0,Masters,14.0,Never-married,Craft-repair,Wife,White,Female,2407.0,0.0,35.0,United-States,0
28.0,Private,1196064.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Unmarried,White,Female,0.0,0.0,26.0,United-States,0
83.0,Private,812037.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0.0,0.0,35.0,United-States,1
54.0,Private,158753.0,Masters,14.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,39.0,United-States,0
86.0,Local-gov,1074970.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Female,0.0,0.0,28.0,United-States,1
28.0,State-gov,871725.0,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,53.0,United-States,0
53.0,Private,106356.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,43.0,United-States,0
68.0,Private,302420.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,26.0,United-States,0
53.0,Federal-gov,800185.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0.0,1977.0,16.0,United-States,0
50.0,Private,995400.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,Black,Female,0.0,0.0,41.0,United-States,1
29.0,Federal-gov,158974.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Female,0.0,0.0,44.0,United-States,0
45.0,Self-emp-not-inc,883499.0,11th,7.0,Married-civ-spouse,Other-service,Not-in-family,White,Male,0.0,0.0,47.0,United-States,0
34.0,Private,1004486.0,Some-college,10.0,Divorced,Adm-clerical,Wife,White,Male,14084.0,0.0,26.0,United-States,0
39.0,Private,1285364.0,Prof-school,15.0,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,0.0,0.0,33.0,United-States,1
67.0,Self-emp-inc,1067272.0,Some-college,10.0,Divorced,Other-service,Husband,White,Female,0.0,0.0,38.0,United-States,1
63.0,Private,755148.0,11th,7.0,Divorced,Transport-moving,Husband,White,Male,0.0,0.0,46.0,United-States,0
61.0,Private,501422.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Female,0.0,1977.0,42.0,United-States,1
43.0,Private,637391.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,30.0,United-States,0
88.0,Private,560134.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,25.0,United-States,1
23.0,Local-gov,672621.0,9th,5.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,38.0,United-States,0
42.0,Private,1294744.0,Some-college,10.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,18.0,United-States,0
25.0,,785314.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Female,99999.0,0.0,42.0,United-States,0
42.0,Private,1165969.0,Bachelors,13.0,Never-married,Other-service,Husband,White,Male,0.0,0.0,34.0,United-States,1
88.0,Self-emp-not-inc,20459.0,Bachelors,13.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,16.0,United-States,0
44.0,Private,1059744.0,Masters,14.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,20.0,United-States,0
84.0,,798238.0,HS-grad,9.0,Never-married,Sales,Wife,White,Male,0.0,0.0,41.0,Mexico,0
53.0,Self-emp-not-inc,1121007.0,HS-grad,9.0,Married-civ-spouse,Other-service,Not-in-family,White,Male,0.0,0.0,28.0,United-States,0
68.0,Federal-gov,192264.0,HS-grad,9.0,Never-married,Sales,Husband,White,Female,0.0,0.0,39.0,United-States,0
50.0,State-gov,610217.0,Some-college,10.0,Divorced,Other-service,Husband,White,Female,0.0,0.0,47.0,Other,0
36.0,Private,1157687.0,Some-college,10.0,Divorced,Exec-managerial,Husband,White,Male,2964.0,0.0,51.0,United-States,0
73.0,Private,82182.0,5th-6th,3.0,Divorced,Tech-support,Husband,White,Female,0.0,0.0,54.0,South,0
88.0,Local-gov,519755.0,Prof-school,15.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,36.0,United-States,0
36.0,Federal-gov,422858.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0.0,0.0,44.0,United-States,0
74.0,Private,835310.0,HS-grad,9.0,Separated,Prof-specialty,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0
36.0,Private,850941.0,Assoc-voc,11.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,61.0,United-States,0
70.0,Private,593409.0,Masters,14.0,Never-married,Sales,Husband,White,Male,0.0,0.0,28.0,United-States,0
